odai_type,odai,response,score,predicted_score
image,,最近作物を荒らす猿を懲らしめようとしたが、食材にメッチャ感謝しながら食べてて怒りの矛先を見失う,1.0,0.3796120882034302
image,,ツカル,-0.32778127881365027,0.27718430757522583
image,,パーリナイ,-0.5211017204097173,-0.6175472140312195
image,,腹痛が限界になったので近くのデパートに入ったら突然来店10万人目を祝うクラッカーが鳴り、びっくりして全部出た。,1.0,0.6837803721427917
image,,左のトットロ♪トットーロ♪,0.33731446658580255,-0.008692938834428787
image,,クーポン券払い,-0.32778127881365027,-0.11737164855003357
image,,ナリのトトロ,-1.0,-0.6013277769088745
image,,怪人が出たって聞いたから来たけど...アッコさんじゃねぇか!,0.2743311043723744,0.055207155644893646
image,,おな~イき~,-0.5211017204097173,-0.5422923564910889
image,,運転中だろうと会話はしっかり相手の目を見るタイプ,1.0,0.14389386773109436
image,,まじか!おい見ろよ笑俺の手!俺の手!豚かよ笑笑笑,-0.11393289262733997,0.15359851717948914
image,,ずっと前から好きでした,0.866366174403135,0.3101885914802551
image,,『陸王』↔︎『魚民』,1.0,0.22875596582889557
image,,ずかしかったで,1.0,0.3797856867313385
image,,嫌いな先輩がミスして上司に怒鳴られてるのを聞きながらパソコン見てる俺(リアルタイム),1.0,0.23543421924114227
image,,深いため息,-0.32778127881365027,0.0005686692893505096
image,,あっ...あのっ、助けていただいてありがとうございました!!,1.0,-0.3796110153198242
image,,見栄,-0.32778127881365027,-0.06458684056997299
image,,クラスでは立派に浮いてるじゃない,1.0,0.26110896468162537
image,,初健診を鳴き喚いて切り抜けようと思ってたが、先生が怖いので自ら首をすわらせ相手の目を見て話しを聞く好印象作戦に切り替えた,1.0,0.39408838748931885
image,,友達の友達がアルカイダ,-0.32778127881365027,-0.3614340126514435
image,,ないない,-0.38103295279962135,-0.16731637716293335
image,,7階に転居した,-0.2045671752179079,-0.2296200394630432
image,,「全米が泣いた!」の「全米」の正体,0.06780706505795586,0.5596238374710083
image,,バレエパフォーマンス「テイジタイシャ」,-0.14158381300447986,0.38473957777023315
image,,亀に負けただと,-0.32778127881365027,0.2917537987232208
image,,えぇそうです。毎日ピカピカ輝いてるので,0.15111700077663248,0.4625093936920166
image,,「それ何だよ?」「給食のコッペパン」,-0.32778127881365027,-0.23444096744060516
image,,うっかり洗濯機の中に入ってしまいました,-0.1716420747371854,0.06699355691671371
image,,げ散らか,0.08316301918787916,0.05888647586107254
image,,卒業式で最前列のやつが笑わせてくる,0.06780706505795586,0.3421461582183838
image,,次の元号小室だってよ,-0.24096418518952545,-0.2856975197792053
image,,お連れ様の準備ができました,-0.14158381300447986,0.3834470510482788
image,,先生! 先生「ハゲてなどいない!」弟子「。。。,-0.2045671752179079,0.35038745403289795
image,,検索履歴消すの忘れた,-0.08833213901850889,0.2716359496116638
image,,スープに浮いた油を合体させて遊ぶ,1.0,-0.0633399561047554
image,,お祈りをするか岩海苔にするか,-0.32778127881365027,-0.12160199135541916
image,,山口君のお父さんが、借り物競走でツラ貸してくれた,-0.32778127881365027,0.5447512269020081
image,,私に遺産全部ゆずる,-0.28165258061457576,-0.1625937521457672
image,,壇蜜、引退,-0.5211017204097173,-0.4345334470272064
image,,さっき、犬が運転してたよな...,1.0,0.46413958072662354
image,,ドミノが完成に近づいてくると急に出てくる妖怪,1.0,0.12010622769594193
image,,マスタードンペリ入りました,-0.32778127881365027,-0.40690016746520996
image,,三葉に誰お前?って言った時の周りの反応,0.23793409440075686,0.6689596772193909
image,,没収〜!,1.0,-0.47955310344696045
image,,インディードで紹介された仕事がこれ,-0.32778127881365027,0.4026121497154236
image,,もう帰ってきたの!?,-0.24096418518952545,0.2750476598739624
image,,ダイブしたら戻れなくなったので客として楽しむことにしたベース,1.0,0.09180425107479095
image,,破滅の使者が部長を消してくれた,-0.6204820925947632,0.22842276096343994
image,,やべえ10時だ!!/あ、日曜か,1.0,-0.12385009229183197
image,,落ちてるプーさんを片っ端から蹴っ飛ばす,1.0,0.48777735233306885
image,,鬼龍院翔,-0.2045671752179079,-0.09026595950126648
image,,二個目の吹き出しが分かりにくいです/出題者に言え,-0.32778127881365027,0.45005151629447937
image,,あなたが落としたのは金のラスカルですか?それとも・・・あっ、ちょっとおりて、頭からおりて!,1.0,0.2577110528945923
image,,リーブ21に断られたって?そんなに絶望的なのかい?君の頭は?,-0.2045671752179079,0.34705018997192383
image,,「見て、ソフトバンクユーザーが困ってるwww」「当然だぜ、回線を壊したのは俺たちだからな!」「auにしないからだよww」,1.0,0.46604204177856445
image,,子供たちが夏休み中のママ,1.0,0.03153662756085396
image,,夏バテ、シャンシャンのピンチヒッター,-0.11393289262733997,0.18737658858299255
image,,ギャル曽根の共犯のMAXスズキも自供しない,-0.32778127881365027,0.42824816703796387
image,,モーター,1.0,-0.19883324205875397
image,,大阪夏の陣痛,0.051736628591586564,0.04354603588581085
image,,全ての挨拶が適当,-0.38103295279962135,-0.26192814111709595
image,,星をつけると表示されるよ,1.0,-0.06906458735466003
image,,スネ夫「ごめんのび太このゲーム誰も出来ない」,-0.1716420747371854,-0.08207982033491135
image,,『磯野波平』という人物は元々この世に存在していなかった。みんな、いいね?,1.0,0.5179339051246643
image,,なぜか/ハエが/手にとまろうとする,1.0,0.2403714656829834
image,,マーシー岩,-0.24096418518952545,-0.04699959233403206
image,,タケちゃんマン,-0.2045671752179079,-0.2431628704071045
image,,ちょっと、待って、みんな見えない?透明のおじさん。,-0.32778127881365027,0.1319994479417801
image,,『はっくしょん!』『はっくしょん!』『はっくしょん!』『はっくしょん!』『はっくしょん!』『はっくしょん!』『はっくしょ,0.29118576838672805,0.3532342314720154
